NUM,NAME,Hire Date,Place,Birth Date,Instructor License,Salary,Bonus,Department
100,PUTNAM,03/08/1981,Tel Aviv,09/08/1958,Y,48619,Y,Marketing
101,LEXINGTON,NaH,Ramat Gan,09/08/1958,N,19415,N,Accounting
102,LEXINGTON,07/05/1962,Haifa,13/05/1939,Y,84877,Y,Security
103,BERKELEY,09/02/2015,na,15/02/1992,N,71785,BERKELEY,Marketing
104,BERKELEY,05/03/1982,Tel Aviv,11/03/1959,Y,---,Y,Accounting
105,BERKELEY,13/03/1974,Ramat Gan,19/03/1951,12,71463,N,Security
106,WASHINGTON,26/04/1962,Haifa,NaN,Y,17772,Y,Marketing
107,TREMONT,17/05/1987,na,22/05/1964,N,15968,Y,Accounting
108,TREMONT,02/10/2002,na,08/10/1979,Y,44682,BERKELEY,Security
109,PUTNAM,14/12/1956,Tel Aviv,20/12/1933,N,30543,Y,Marketing
110,LEXINGTON,04/11/1995,Ramat Gan,09/11/1972,Y,26817,N,Accounting
111,LEXINGTON,NaH,Haifa,09/08/1958,N,68591,Y,Security
112,BERKELEY,17/08/1989,NA,23/08/1966,Y,---,Y,Marketing
113,BERKELEY,01/06/2003,NaN,06/06/1980,N,83040,Y,Accounting
114,BERKELEY,21/04/1962,Ramat Gan,NaN,47,53115,N,Security
115,NaN,NaN,Haifa,12/01/1952,Marketing,NaN,Y,Marketing
116,PUTNAM,07/07/2013,na,13/07/1990,Y,75779,Y,Accounting
117,LEXINGTON,24/05/2015,Tel Aviv,29/05/1992,N,43720,N,Security
118,LEXINGTON,24/12/1971,Ramat Gan,29/12/1948,Y,69425,BERKELEY,Marketing
119,BERKELEY,09/05/2003,Haifa,14/05/1980,N,22416,Y,Accounting
120,BERKELEY,24/01/2003,Tel Aviv,30/01/1980,Y,39995,N,Security
121,BERKELEY,10/01/1962,Ramat Gan,16/01/1939,N,19184,Y,Marketing
122,WASHINGTON,03/11/1967,Haifa,08/11/1944,Y,nana,Y,Accounting
123,TREMONT,12/03/2017,Tel Aviv,18/03/1994,N,63769,Y,Security
124,TREMONT,12/03/2017,Ramat Gan,18/03/1994,,63769,N,---
