OrderID,Product Code,ProductName,QuantityPerUnit,OrderDate,ShippedDate,RequiredDate,Cutomer Name,Customer Country,Customer City,Shipper Name,EmployeeID,FirstName,LastName,Title,TitleOfCourtesy,Sales Quantity,Sales Price
10248,11,Queso Cabrales,1 kg pkg.,04/07/2018,16/07/2018,01/08/2018,Vins et alcools Chevalier,France,Reims,Federal Shipping,5,Steven,Buchanan,Sales Manager,Mr.,12,14
10248,42,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,04/07/2018,16/07/2018,01/08/2018,Vins et alcools Chevalier,France,Reims,Federal Shipping,5,Steven,Buchanan,Sales Manager,Mr.,10,9.8
10248,72,Mozzarella di Giovanni,24 - 200 g pkgs.,04/07/2018,16/07/2018,01/08/2018,Vins et alcools Chevalier,France,Reims,Federal Shipping,5,Steven,Buchanan,Sales Manager,Mr.,5,34.8
10249,14,Tofu,40 - 100 g pkgs.,05/07/2018,10/07/2018,16/08/2018,Toms Spezialitäten,Germany,Münster,Speedy Express,6,Michael,Suyama,Sales Representative,Mr.,9,18.6
10249,51,Manjimup Dried Apples,50 - 300 g pkgs.,05/07/2018,10/07/2018,16/08/2018,Toms Spezialitäten,Germany,Münster,Speedy Express,6,Michael,Suyama,Sales Representative,Mr.,40,42.4
10250,41,Jack's New England Clam Chowder,12 - 12 oz cans,08/07/2018,12/07/2018,05/08/2018,Hanari Carnes,Brazil,Rio de Janeiro,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,10,7.7
10250,51,Manjimup Dried Apples,50 - 300 g pkgs.,08/07/2018,12/07/2018,05/08/2018,Hanari Carnes,Brazil,Rio de Janeiro,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,35,42.4
10250,65,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,08/07/2018,12/07/2018,05/08/2018,Hanari Carnes,Brazil,Rio de Janeiro,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,15,16.8
10251,22,Gustaf's Knäckebröd,24 - 500 g pkgs.,08/07/2018,15/07/2018,05/08/2018,Victuailles en stock,France,Lyon,Speedy Express,3,Janet,Leverling,Sales Representative,Ms.,6,16.8
10251,57,Ravioli Angelo,24 - 250 g pkgs.,08/07/2018,15/07/2018,05/08/2018,Victuailles en stock,France,Lyon,Speedy Express,3,Janet,Leverling,Sales Representative,Ms.,15,15.6
10251,65,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,08/07/2018,15/07/2018,05/08/2018,Victuailles en stock,France,Lyon,Speedy Express,3,Janet,Leverling,Sales Representative,Ms.,20,16.8
10252,20,Sir Rodney's Marmalade,30 gift boxes,09/07/2018,11/07/2018,06/08/2018,Suprêmes délices,Belgium,Charleroi,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,40,64.8
10252,33,Geitost,500 g,09/07/2018,11/07/2018,06/08/2018,Suprêmes délices,Belgium,Charleroi,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,25,2
10252,60,Camembert Pierrot,15 - 300 g rounds,09/07/2018,11/07/2018,06/08/2018,Suprêmes délices,Belgium,Charleroi,United Package,4,Margaret,Peacock,Sales Representative,Mrs.,40,27.2
10253,31,Gorgonzola Telino,12 - 100 g pkgs,10/07/2018,16/07/2018,24/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,United Package,3,Janet,Leverling,Sales Representative,Ms.,20,10
10253,39,Chartreuse verte,750 cc per bottle,10/07/2018,16/07/2018,24/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,United Package,3,Janet,Leverling,Sales Representative,Ms.,42,14.4
10253,49,Maxilaku,24 - 50 g pkgs.,10/07/2018,16/07/2018,24/07/2018,Hanari Carnes,Brazil,Rio de Janeiro,United Package,3,Janet,Leverling,Sales Representative,Ms.,40,16
10254,24,Guaraná Fantástica,12 - 355 ml cans,11/07/2018,23/07/2018,08/08/2018,Chop-suey Chinese,Switzerland,Bern,United Package,5,Steven,Buchanan,Sales Manager,Mr.,15,3.6
10254,55,Pâté chinois,24 boxes x 2 pies,11/07/2018,23/07/2018,08/08/2018,Chop-suey Chinese,Switzerland,Bern,United Package,5,Steven,Buchanan,Sales Manager,Mr.,21,19.2
10254,74,Longlife Tofu,5 kg pkg.,11/07/2018,23/07/2018,08/08/2018,Chop-suey Chinese,Switzerland,Bern,United Package,5,Steven,Buchanan,Sales Manager,Mr.,21,8
10255,2,Chang,24 - 12 oz bottles,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Genève,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,20,15.2
10255,16,Pavlova,32 - 500 g boxes,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Genève,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,35,13.9
10255,36,Inlagd Sill,24 - 250 g  jars,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Genève,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,25,15.2
10255,59,Raclette Courdavault,5 kg pkg.,12/07/2018,15/07/2018,09/08/2018,Richter Supermarkt,Switzerland,Genève,Federal Shipping,9,Anne,Dodsworth,Sales Representative,Ms.,30,44
10256,53,Perth Pasties,48 pieces,15/07/2018,17/07/2018,12/08/2018,Wellington Importadora,Brazil,Resende,United Package,3,Janet,Leverling,Sales Representative,Ms.,15,26.2
